"Year","state","OCC_CODE","OCC_TITLE","O_GROUP","TOT_EMP","JOBS_1000","H_MEAN","Mean_Salary","H_PCT10","H_PCT90","H_MEDIAN","A_PCT10","A_PCT90","Median_Salary","Keyword"
"2021","Alabama","00-0000","all occupations","total","1928110","1000","23.13","48110","8.9600000000000009","39.79","17.91","18630","82760","37250","All US Occupations"
"2021","Alabama","15-1221","computer and information research scientists","detailed","210","0.108","56.92","118390","36.33","75.37","57.58","75570","156780","119770","Machine Learning"
"2021","Alabama","15-1242","database administrators","detailed","2210","1.149","39.78","82730","23.34","60.07","37.880000000000003","48540","124940","78790","Data Engineering"
"2021","Alabama","15-1243","database architects","detailed","360","0.186","59.5","123770","36.01","99.32","59.61","74900","206580","123980","Data Architecture"
"2021","Alabama","15-2031","operations research analysts","detailed","550","0.28499999999999998","50.53","105110","29.24","74.36","48.6","60820","154660","101090","Data Analytics"
"2021","Alabama","15-2051","data scientists","detailed","520","0.27100000000000002","40.61","84470","22.63","63.14","38.6","47080","131340","80290","Data Science"
"2021","Alaska","00-0000","all occupations","total","295880","1000","30.52","63480","13.92","49.81","23.47","28950","103610","48820","All US Occupations"
"2021","Alaska","15-1242","database administrators","detailed","110","0.38600000000000001","44.36","92280","29.69","61.11","47.43","61750","127110","98650","Data Engineering"
"2021","Alaska","15-1243","database architects","detailed","40","0.11799999999999999","47.76","99330","29.3","62.4","48.89","60950","129800","101690","Data Architecture"
"2021","Alaska","15-2031","operations research analysts","detailed","110","0.38400000000000001","40.020000000000003","83240","22.9","54.16","37.33","47630","112650","77640","Data Analytics"
"2021","Alaska","15-2051","data scientists","detailed","120","0.41","50.55","105150","29.67","78.260000000000005","47.71","61710","162770","99230","Data Science"
"2021","Arizona","00-0000","all occupations","total","2880690","1000","26.53","55170","13.73","47.53","18.989999999999998","28570","98860","39500","All US Occupations"
"2021","Arizona","15-1221","computer and information research scientists","detailed","250","8.5999999999999993E-2","71.2","148090","32.68","#","68","67970","#","141440","Machine Learning"
"2021","Arizona","15-1242","database administrators","detailed","1760","0.61","45.19","93990","23.61","62.32","47.27","49100","129620","98320","Data Engineering"
"2021","Arizona","15-1243","database architects","detailed","1030","0.35599999999999998","52.24","108660","23.31","78.58","49.53","48490","163450","103010","Data Architecture"
"2021","Arizona","15-2031","operations research analysts","detailed","1450","0.503","37.659999999999997","78330","23.12","59.08","37.090000000000003","48090","122890","77160","Data Analytics"
"2021","Arizona","15-2051","data scientists","detailed","2420","0.83799999999999997","46.63","96990","28.57","63.14","47.76","59430","131340","99330","Data Science"
"2021","Arkansas","00-0000","all occupations","total","1191000","1000","22.36","46500","11.15","37.549999999999997","17.64","23180","78100","36680","All US Occupations"
"2021","Arkansas","15-1242","database administrators","detailed","390","0.32400000000000001","36.909999999999997","76760","22.55","50.92","37.04","46890","105920","77040","Data Engineering"
"2021","Arkansas","15-1243","database architects","detailed","250","0.21099999999999999","45.84","95350","35.880000000000003","63.06","47.37","74640","131170","98530","Data Architecture"
"2021","Arkansas","15-2031","operations research analysts","detailed","270","0.223","31.94","66420","18.38","47.13","29.71","38230","98030","61800","Data Analytics"
"2021","Arkansas","15-2051","data scientists","detailed","250","0.214","*","*","*","*","*","*","*","*","Data Science"
"2021","California","00-0000","all occupations","total","16529810","1000","32.94","68510","14.32","62.71","23.04","29780","130430","47920","All US Occupations"
"2021","California","15-1221","computer and information research scientists","detailed","8140","0.49299999999999999","*","*","*","*","*","*","*","*","Machine Learning"
"2021","California","15-1242","database administrators","detailed","8200","0.496","51.08","106250","23.96","78.459999999999994","49.02","49840","163190","101970","Data Engineering"
"2021","California","15-1243","database architects","detailed","7730","0.46800000000000003","62.65","130310","36.450000000000003","#","60.07","75820","#","124950","Data Architecture"
"2021","California","15-2031","operations research analysts","detailed","7250","0.438","47.7","99220","23.88","77.37","40.799999999999997","49660","160930","84860","Data Analytics"
"2021","California","15-2051","data scientists","detailed","17750","1.0740000000000001","64","133110","33.76","98.81","62.28","70210","205510","129550","Data Science"
"2021","Colorado","00-0000","all occupations","total","2621340","1000","30.24","62900","13.99","57.22","23.05","29090","119010","47940","All US Occupations"
"2021","Colorado","15-1221","computer and information research scientists","detailed","280","0.107","53.24","110740","36.35","74.61","49.2","75610","155190","102330","Machine Learning"
"2021","Colorado","15-1242","database administrators","detailed","1820","0.69299999999999995","47.49","98780","23.6","66.62","47.76","49080","138560","99340","Data Engineering"
"2021","Colorado","15-1243","database architects","detailed","1750","0.66900000000000004","64.349999999999994","133860","39.08","92.13","61.39","81280","191630","127690","Data Architecture"
"2021","Colorado","15-2031","operations research analysts","detailed","910","0.34899999999999998","48.09","100040","27.92","72.790000000000006","46.61","58070","151390","96950","Data Analytics"
"2021","Colorado","15-2051","data scientists","detailed","3070","1.171","50.86","105790","29.28","74.209999999999994","49.24","60900","154360","102410","Data Science"
"2021","Connecticut","00-0000","all occupations","total","1573560","1000","31.79","66130","13.8","59.06","23.42","28700","122840","48720","All US Occupations"
"2021","Connecticut","15-1221","computer and information research scientists","detailed","80","5.2999999999999999E-2","57.31","119200","40.51","80.16","51.8","84260","166730","107730","Machine Learning"
"2021","Connecticut","15-1242","database administrators","detailed","1030","0.65600000000000003","50.68","105420","29.28","73.75","49.23","60900","153410","102410","Data Engineering"
"2021","Connecticut","15-1243","database architects","detailed","640","0.40500000000000003","62.36","129710","29.85","77.98","63.68","62090","162190","132460","Data Architecture"
"2021","Connecticut","15-2031","operations research analysts","detailed","910","0.57799999999999996","43.18","89820","23.25","62.82","38.08","48370","130670","79200","Data Analytics"
"2021","Connecticut","15-2051","data scientists","detailed","760","0.48499999999999999","49.09","102100","21.56","80.430000000000007","47.43","44840","167300","98650","Data Science"
"2021","Delaware","00-0000","all occupations","total","435600","1000","28.76","59820","11.34","51.7","22.45","23590","107540","46700","All US Occupations"
"2021","Delaware","15-1242","database administrators","detailed","730","1.6850000000000001","45.49","94630","26.18","63.3","39.659999999999997","54460","131660","82480","Data Engineering"
"2021","Delaware","15-1243","database architects","detailed","110","0.247","62.69","130390","48.84","78.540000000000006","63.29","101590","163360","131640","Data Architecture"
"2021","Delaware","15-2031","operations research analysts","detailed","710","1.619","45.53","94700","22.99","62.26","43.5","47820","129510","90480","Data Analytics"
"2021","Delaware","15-2051","data scientists","detailed","370","0.85299999999999998","61.45","127810","37.82","80.680000000000007","61.22","78670","167810","127330","Data Science"
"2021","District of Columbia","00-0000","all occupations","total","661960","1000","47.29","98370","17.309999999999999","82.93","38.44","36010","172490","79960","All US Occupations"
"2021","District of Columbia","15-1221","computer and information research scientists","detailed","390","0.58399999999999996","59.26","123260","30.56","86.38","63.2","63570","179670","131460","Machine Learning"
"2021","District of Columbia","15-1242","database administrators","detailed","570","0.86699999999999999","50","104010","29.42","63.3","48.56","61200","131660","101000","Data Engineering"
"2021","District of Columbia","15-1243","database architects","detailed","770","1.1579999999999999","61.63","128190","38.22","81.13","62.4","79490","168750","129790","Data Architecture"
"2021","District of Columbia","15-2031","operations research analysts","detailed","2190","3.3029999999999999","43.58","90650","23.68","74.61","38.01","49250","155190","79050","Data Analytics"
"2021","District of Columbia","15-2051","data scientists","detailed","1380","2.0870000000000002","56.48","117470","36.04","81.02","49.38","74970","168520","102700","Data Science"
"2021","Florida","00-0000","all occupations","total","8605610","1000","24.98","51950","10.93","46.34","18.23","22720","96380","37920","All US Occupations"
"2021","Florida","15-1221","computer and information research scientists","detailed","1630","0.19","63.54","132170","37.26","92.68","61.04","77500","192770","126950","Machine Learning"
"2021","Florida","15-1242","database administrators","detailed","4610","0.53600000000000003","45.19","93990","23.17","63.14","45.67","48190","131340","94980","Data Engineering"
"2021","Florida","15-1243","database architects","detailed","2040","0.23699999999999999","55.43","115300","23.2","81.19","57.81","48260","168880","120240","Data Architecture"
"2021","Florida","15-2031","operations research analysts","detailed","5930","0.68899999999999995","34.020000000000003","70760","17.87","52.34","30.03","37170","108870","62460","Data Analytics"
"2021","Florida","15-2051","data scientists","detailed","4590","0.53300000000000003","43.68","90850","28.5","63.14","37.49","59290","131340","77980","Data Science"
"2021","Georgia","00-0000","all occupations","total","4378430","1000","25.93","53940","10.28","47.94","18.43","21390","99700","38340","All US Occupations"
"2021","Georgia","15-1221","computer and information research scientists","detailed","510","0.115","42.54","88480","29.71","59.32","38.369999999999997","61800","123390","79810","Machine Learning"
"2021","Georgia","15-1242","database administrators","detailed","3850","0.879","42.75","88920","23.25","63","44.82","48370","131040","93220","Data Engineering"
"2021","Georgia","15-1243","database architects","detailed","1920","0.44","60.73","126310","36.26","80.989999999999995","61.39","75410","168470","127690","Data Architecture"
"2021","Georgia","15-2031","operations research analysts","detailed","4420","1.0089999999999999","37.15","77270","20.55","60.54","35.67","42730","125930","74190","Data Analytics"
"2021","Georgia","15-2051","data scientists","detailed","4340","0.99099999999999999","50.36","104760","28.62","78.02","48.38","59530","162280","100620","Data Science"
"2021","Hawaii","00-0000","all occupations","total","548410","1000","28.73","59760","13.71","48.72","22.93","28520","101340","47700","All US Occupations"
"2021","Hawaii","15-1221","computer and information research scientists","detailed","80","0.14399999999999999","52.99","110210","35.69","61.11","57.89","74240","127110","120410","Machine Learning"
"2021","Hawaii","15-1242","database administrators","detailed","130","0.24299999999999999","44.55","92650","23.73","61.45","47.43","49350","127820","98650","Data Engineering"
"2021","Hawaii","15-1243","database architects","detailed","40","7.2999999999999995E-2","43.87","91250","23.89","61.39","38.99","49690","127690","81110","Data Architecture"
"2021","Hawaii","15-2031","operations research analysts","detailed","390","0.70699999999999996","50.26","104540","38.01","62.14","47.44","79050","129240","98680","Data Analytics"
"2021","Hawaii","15-2051","data scientists","detailed","70","0.12","40.479999999999997","84200","18.55","72.959999999999994","38.54","38590","151760","80150","Data Science"
"2021","Idaho","00-0000","all occupations","total","756910","1000","23.05","47940","10.76","38.35","18.05","22380","79780","37550","All US Occupations"
"2021","Idaho","15-1221","computer and information research scientists","detailed","50","7.0000000000000007E-2","56.72","117990","38.4","79.33","62.54","79870","165010","130070","Machine Learning"
"2021","Idaho","15-1242","database administrators","detailed","280","0.36799999999999999","36.18","75250","22.63","57.69","36.43","47080","119990","75770","Data Engineering"
"2021","Idaho","15-1243","database architects","detailed","80","0.105","66.33","137960","38.54","81.14","63.42","80170","168760","131910","Data Architecture"
"2021","Idaho","15-2031","operations research analysts","detailed","420","0.55500000000000005","33.700000000000003","70100","14.99","61.87","29.71","31190","128700","61800","Data Analytics"
"2021","Idaho","15-2051","data scientists","detailed","150","0.19500000000000001","47.71","99240","37.32","61.96","47.62","77620","128880","99040","Data Science"
"2021","Illinois","00-0000","all occupations","total","5618830","1000","28.68","59650","11.76","49.75","22.42","24470","103490","46630","All US Occupations"
"2021","Illinois","15-1221","computer and information research scientists","detailed","170","3.1E-2","55.79","116040","32.78","85.78","52.79","68180","178410","109810","Machine Learning"
"2021","Illinois","15-1242","database administrators","detailed","5380","0.95699999999999996","46.97","97700","23.26","78.260000000000005","40.14","48370","162770","83480","Data Engineering"
"2021","Illinois","15-1243","database architects","detailed","1390","0.247","53.14","110530","24.09","79.84","49.67","50110","166070","103310","Data Architecture"
"2021","Illinois","15-2031","operations research analysts","detailed","3970","0.70699999999999996","46.98","97720","28.62","62.39","47.39","59530","129760","98580","Data Analytics"
"2021","Illinois","15-2051","data scientists","detailed","4670","0.83","50","104010","29.28","73.209999999999994","47.94","60900","152270","99720","Data Science"
"2021","Indiana","00-0000","all occupations","total","2983410","1000","24.25","50440","11.05","38.950000000000003","18.43","22980","81010","38330","All US Occupations"
"2021","Indiana","15-1221","computer and information research scientists","detailed","160","5.5E-2","49.72","103420","37.01","74.87","44.98","76980","155720","93560","Machine Learning"
"2021","Indiana","15-1242","database administrators","detailed","1140","0.38200000000000001","39.42","82000","22.78","60.95","37.880000000000003","47370","126780","78790","Data Engineering"
"2021","Indiana","15-1243","database architects","detailed","630","0.21","46.41","96540","23.38","63.68","47.77","48640","132460","99360","Data Architecture"
"2021","Indiana","15-2031","operations research analysts","detailed","1290","0.43099999999999999","36.869999999999997","76680","22.87","57.31","35.75","47570","119200","74350","Data Analytics"
"2021","Indiana","15-2051","data scientists","detailed","2150","0.72","36.19","75280","21.24","57.69","34.89","44180","119990","72580","Data Science"
"2021","Iowa","00-0000","all occupations","total","1484970","1000","24.59","51140","11.13","39.26","18.79","23160","81660","39070","All US Occupations"
"2021","Iowa","15-1221","computer and information research scientists","detailed","**","**","61.44","127800","38.32","66.349999999999994","64.67","79710","138010","134520","Machine Learning"
"2021","Iowa","15-1242","database administrators","detailed","550","0.37","43.39","90260","22.29","61.52","46.98","46360","127970","97710","Data Engineering"
"2021","Iowa","15-1243","database architects","detailed","210","0.13900000000000001","55.51","115450","37.799999999999997","75.66","49.57","78620","157380","103110","Data Architecture"
"2021","Iowa","15-2031","operations research analysts","detailed","430","0.28899999999999998","35.380000000000003","73580","17.489999999999998","59.44","36.33","36370","123630","75560","Data Analytics"
"2021","Iowa","15-2051","data scientists","detailed","1510","1.018","43.98","91470","24.19","62.25","46.62","50320","129490","96970","Data Science"
"2021","Kansas","00-0000","all occupations","total","1339170","1000","23.88","49680","10.71","40.57","18.29","22270","84390","38050","All US Occupations"
"2021","Kansas","15-1221","computer and information research scientists","detailed","50","3.5000000000000003E-2","43.54","90560","36.33","56.68","38.49","75570","117890","80050","Machine Learning"
"2021","Kansas","15-1242","database administrators","detailed","580","0.433","42.81","89040","23.6","61.96","38.6","49080","128880","80290","Data Engineering"
